_RAJ2000;_DEJ2000;NVSS;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;S1.4;e_S1.4;l_MajAxis;MajAxis;l_MinAxis;MinAxis;f_resFlux
0.8416667;-17.453166699999997;000322-172711;00 03 22.00;-17 27 11.4;0.03;0.6;2414.8;72.4;<;15.6;<;13.9;P*
1.5941667;-0.0736389;000622-000425;00 06 22.60;-00 04 25.1;0.03;0.6;3897.6;116.9;<;17.1;<;15.5;
4.7140832999999995;-12.7093056;001851-124233;00 18 51.38;-12 42 33.5;0.03;0.6;2122.3;63.7;<;17.3;<;15.3;
5.1055;15.681305599999998;002025+154052;00 20 25.32;+15 40 52.7;0.03;0.6;2180.0;65.4;<;19.6;<;16.1;
5.6059167;0.24894439999999998;002225+001456;00 22 25.42;+00 14 56.2;0.03;0.6;3009.2;90.3;<;19.4;<;19.2;
6.1255;-29.48025;002430-292848;00 24 30.12;-29 28 48.9;0.03;0.6;2922.8;95.0;;42.0;<;16.7;P*
6.454875;-26.0368889;002549-260212;00 25 49.17;-26 02 12.8;0.03;0.6;8753.3;262.6;<;17.8;<;16.7;
9.2669167;-1.1526111;003704-010909;00 37 04.06;-01 09 09.4;0.03;0.6;4067.1;138.5;;26.1;<;16.2;
9.585041699999998;-2.1278889;003820-020740;00 38 20.41;-02 07 40.4;0.03;0.6;6187.8;239.1;;19.9;;16.1;
10.209791699999998;10.0564722;004050+100323;00 40 50.35;+10 03 23.3;0.03;0.6;4602.3;147.6;;47.9;<;19.2;P*
10.229208300000002;33.16869439999999;004055+331007;00 40 55.01;+33 10 07.3;0.04;0.6;3223.4;96.7;<;17.8;<;16.6;
11.1727917;-35.509111100000005;004441-353032;00 44 41.47;-35 30 32.8;0.04;0.6;2560.1;76.8;<;15.7;<;14.1;
11.888041699999999;-25.2880833;004733-251717;00 47 33.13;-25 17 17.1;0.03;0.6;2993.8;113.5;;24.0;;18.2;S*
13.535;-3.5655278;005408-033355;00 54 08.40;-03 33 55.9;0.03;0.6;2210.8;66.3;<;18.8;<;15.2;
14.3922917;-1.3828889;005734-012258;00 57 34.15;-01 22 58.4;0.03;0.6;3201.6;108.4;;47.4;;33.5;P*
14.398208300000002;-1.4018333;005735-012406;00 57 35.57;-01 24 06.6;0.03;0.6;2163.8;74.8;;44.8;;28.0;S*
14.773041699999998;0.11430560000000001;005905+000651;00 59 05.53;+00 06 51.5;0.03;0.6;2508.8;75.3;<;17.0;<;16.0;P*
16.093708300000003;-12.587666699999998;010422-123515;01 04 22.49;-12 35 15.6;0.03;0.6;2125.1;75.0;;14.5;<;17.4;
17.071625;-16.073444400000003;010817-160424;01 08 17.19;-16 04 24.4;0.03;0.6;4201.3;130.5;;69.1;<;18.8;P*
17.1614583;1.5830278;010838+013458;01 08 38.75;+01 34 58.9;0.03;0.6;2620.7;78.6;<;18.5;<;16.2;
17.210666699999997;13.308722199999998;010850+131831;01 08 50.56;+13 18 31.4;0.03;0.6;8070.5;281.8;;18.1;<;16.3;P*
17.2332083;13.372388899999999;010855+132220;01 08 55.97;+13 22 20.6;0.03;0.6;2943.8;102.5;;18.9;<;17.1;P*
19.2142917;-20.8685;011651-205206;01 16 51.43;-20 52 06.6;0.03;0.6;4091.3;122.7;<;19.3;<;17.1;
19.755291699999997;8.4985278;011901+082954;01 19 01.27;+08 29 54.7;0.03;0.6;2627.9;78.8;<;19.3;<;18.1;
19.895916699999997;32.180555600000005;011935+321050;01 19 35.02;+32 10 50.0;0.04;0.6;2635.2;79.1;<;19.5;<;16.1;
20.113;-15.338027800000003;012027-152016;01 20 27.12;-15 20 16.9;0.03;0.6;5081.7;179.4;;14.4;<;16.8;
21.685;33.219333299999995;012644+331309;01 26 44.40;+33 13 09.6;0.04;0.6;3712.6;144.2;;20.0;;14.2;P*
21.875999999999998;-14.049194400000001;012730-140257;01 27 30.24;-14 02 57.1;0.03;0.6;2611.0;92.2;;14.2;<;17.3;P*
22.1260833;29.049944399999998;012830+290259;01 28 30.26;+29 02 59.8;0.03;0.6;2889.8;97.0;;30.5;<;14.8;P*
22.499125;23.638722199999997;012959+233819;01 29 59.79;+23 38 19.4;0.03;0.6;2940.9;88.2;<;18.5;<;16.6;
23.812625;8.1853611;013515+081107;01 35 15.03;+08 11 07.3;0.03;0.6;2246.0;67.4;<;17.1;<;16.3;
24.096791699999997;20.9492778;013623+205657;01 36 23.23;+20 56 57.4;0.03;0.6;2337.9;82.6;;14.1;<;17.2;
24.4219583;33.1598889;013741+330935;01 37 41.27;+33 09 35.6;0.04;0.6;16017.7;480.5;<;17.4;<;16.8;
25.288041699999997;13.891194400000002;014109+135328;01 41 09.13;+13 53 28.3;0.03;0.6;2740.2;82.2;<;16.9;<;15.8;
29.4233333;-10.7279722;015741-104340;01 57 41.60;-10 43 40.7;0.03;0.6;2165.0;65.0;<;17.4;<;16.5;
30.050625;-30.890694399999997;020012-305326;02 00 12.15;-30 53 26.5;0.03;0.6;3751.6;130.0;;20.6;<;16.9;P*
30.4882917;-11.542583300000002;020157-113233;02 01 57.19;-11 32 33.3;0.03;0.6;2753.0;82.6;<;19.2;<;16.4;
31.21;15.236444400000002;020450+151411;02 04 50.40;+15 14 11.2;0.03;0.6;4067.7;122.0;<;18.9;<;16.8;
33.8974167;-12.9915278;021535-125929;02 15 35.38;-12 59 29.5;0.03;0.6;2764.1;97.4;;15.1;<;17.7;P*
35.2261667;-1.9477221999999998;022054-015651;02 20 54.28;-01 56 51.8;0.03;0.6;3419.2;102.6;<;19.8;<;16.6;
35.6645;43.0356667;022239+430208;02 22 39.48;+43 02 08.4;0.04;0.6;2303.1;69.1;<;19.5;<;16.6;
