image,center-ra,center-dec,radius,rms
C0000M04.fits,0.0,-3.983333332228966,2.15468649192789,0.0005020146844335753
C0000M08.fits,0.0,-7.983333332228966,2.15468649192789,0.0005308435750328947
C0000M12.fits,0.0,-11.983333332228966,2.1546864919278916,0.0005051564748064734
C0000M16.fits,0.0,-15.983333332228966,2.154686491927892,0.0005382054851771613
C0000M20.fits,0.0,-19.983333332228966,2.154686491927884,0.0005303146165880596
C0000M24.fits,0.0,-23.983333332228966,2.1546864919278907,0.0005169447285561881
C0000M28.fits,0.0,-27.983333332228966,2.1546864919278907,0.0004964811628176771
C0000M32.fits,0.0,-31.983333332228966,2.1546864919278903,0.0005759690107608586
C0000M36.fits,0.0,-35.983333332228966,2.154686491927894,0.0005437485533019918
C0000M40.fits,0.0,-39.983333332228966,2.1546864919278907,0.0005109751934317721
C0000P00.fits,0.0,0.016666667771033872,2.1546864919278903,0.0005392957391341873
C0000P04.fits,0.0,4.016666667771034,2.15468649192789,0.00046125263508145275
C0000P08.fits,0.0,8.016666667771034,2.1546864919278907,0.000502376798839881
C0000P12.fits,0.0,12.016666667771034,2.1546864919278907,0.0005072392635541447
C0000P16.fits,0.0,16.016666667771034,2.154686491927894,0.0004626810484037469
C0000P20.fits,0.0,20.016666667771034,2.154686491927887,0.0005052084540382237
C0000P24.fits,0.0,24.016666667771034,2.1546864919278934,0.000394242136847578
C0000P28.fits,0.0,28.016666667771034,2.154686491927894,0.0004280228801569025
C0000P32.fits,0.0,32.016666667771034,2.1546864919278903,0.0004721329029669152
C0000P36.fits,0.0,36.016666667771034,2.1546864919278907,0.0004829762761692252
C0000P40.fits,0.0,40.016666667771034,2.154686491927894,0.000480745231338416
C0000P44.fits,0.0,44.016666667771034,2.154686491927887,0.0004888558838635797
C0000P48.fits,0.0,48.016666667771034,2.1546864919278903,0.0005095848050758475
C0000P52.fits,0.0,52.016666667771034,2.154686491927887,0.0005216779583249743
C0000P56.fits,0.0,56.016666667771034,2.154686491927887,0.0005211234015126306
C0000P60.fits,0.0,60.016666667771034,2.154686491927894,0.0005718140836052436
C0000P64.fits,0.0,64.01666666777103,2.1546864919278805,0.000527739281601639
C0000P68.fits,0.0,68.01666666777103,2.1546864919278907,0.000492555281600337
C0000P72.fits,0.0,72.01666666777103,2.154686491927894,0.0006429564600958328
C0000P76.fits,0.0,76.01666666777103,2.1546864919278916,0.0005794468237293202
C0000P80.fits,0.0,80.01666666777103,2.1546864919278916,0.0004944388599827554
C0000P84.fits,0.0,84.01666666777103,2.154686491927893,0.0005684503971908042
C0000P88.fits,0.0,88.01666666777103,2.154686491927887,0.00037626007310268586
C0016M04.fits,4.0,-3.983333332228966,2.15468649192789,0.0005682496586306608
C0016M08.fits,4.0,-7.983333332228966,2.15468649192789,0.0005589555287007105
C0016M12.fits,4.0,-11.983333332228966,2.1546864919278916,0.000514281483605813
C0016M16.fits,4.0,-15.983333332228966,2.154686491927892,0.00048299747977455915
C0016M20.fits,4.0,-19.983333332228966,2.154686491927884,0.0005171326265370232
C0016M24.fits,4.0,-23.983333332228966,2.1546864919278907,0.0005345590256907481
C0016M28.fits,4.0,-27.983333332228966,2.1546864919278907,0.000510218143983357
C0016P00.fits,4.0,0.016666667771033872,2.1546864919278903,0.0005124157964445437
C0016P04.fits,4.0,4.016666667771034,2.15468649192789,0.000530275149600688
C0016P08.fits,4.0,8.016666667771034,2.1546864919278907,0.0005435419611795165
C0016P12.fits,4.0,12.016666667771034,2.1546864919278907,0.0005588352879887609
C0016P16.fits,4.0,16.016666667771034,2.154686491927894,0.000488814082035536
C0016P20.fits,4.0,20.016666667771034,2.154686491927887,0.0004895683734125113
C0016P24.fits,4.0,24.016666667771034,2.1546864919278934,0.00042878577900136574
C0016P28.fits,4.0,28.016666667771034,2.154686491927894,0.0004603754411360606
C0018M32.fits,4.5,-31.983333332228966,2.1546864919278903,0.0005267630542781902
C0018M36.fits,4.5,-35.983333332228966,2.154686491927894,0.0004910867930603104
C0018P32.fits,4.5,32.016666667771034,2.1546864919278903,0.0004562943639919928
C0018P36.fits,4.5,36.016666667771034,2.1546864919278907,0.00047567450062148815
C0020M40.fits,5.0,-39.983333332228966,2.1546864919278907,0.0004969621304572089
C0020P40.fits,5.0,40.016666667771034,2.154686491927894,0.00041430167665141616
C0020P44.fits,5.0,44.016666667771034,2.154686491927887,0.0005151570914424779
C0020P48.fits,5.0,48.016666667771034,2.1546864919278903,0.0005289120222165637
C0024P52.fits,6.0,52.016666667771034,2.154686491927887,0.0005317814126540216
C0024P56.fits,6.0,56.016666667771034,2.154686491927887,0.0005214392914411608
C0030P60.fits,7.5,60.016666667771034,2.154686491927894,0.00042048028759577785
C0030P64.fits,7.5,64.01666666777103,2.1546864919278805,0.0005183523035751324
C0032M04.fits,8.0,-3.983333332228966,2.15468649192789,0.0005551731315015284
C0032M08.fits,8.0,-7.983333332228966,2.15468649192789,0.0005948635581137864
