_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos
0.7230416999999999;-56.353416700000004;00 02 53.53;1.5;-56 21 12.30;1.7;1350.0;40.5;1350.0;40.5;54.3;46.0;164.0;0.0;0.0;     ;J0000M56;1;573.9;488.5
0.7914583000000001;-54.74925;00 03 09.95;1.5;-54 44 57.30;1.7;1117.0;33.5;1549.0;54.8;72.3;47.5;154.0;50.1;0.0;145.6;J0000M56;1;555.5;923.6
0.9789167;-30.998194399999996;00 03 54.94;1.5;-30 59 53.50;1.7;1342.0;40.3;1401.0;42.1;84.9;54.5;52.6;0.0;0.0;     ;J0000M32;1;430.4;547.1
1.4902083000000002;-56.475416700000004;00 05 57.65;1.5;-56 28 31.50;1.7;2617.0;78.5;2763.0;82.9;54.3;50.9;48.9;0.0;0.0;     ;J0000M56;1;435.7;453.6
1.50775;-42.57786110000001;00 06 01.86;1.5;-42 34 40.30;1.7;2850.0;85.5;2850.0;85.5;64.8;45.0;179.0;0.0;0.0;     ;J0000M44;1;341.7;811.0
1.5370833000000002;-83.0955;00 06 08.90;1.5;-83 05 43.80;1.7;2443.0;73.3;2548.0;76.5;47.0;45.2;126.0;0.0;0.0;     ;J0000M84;1;644.5;994.6
2.6272917000000002;-44.3825;00 10 30.55;1.5;-44 22 57.00;1.7;2547.0;76.4;3365.0;101.0;64.8;62.7;63.4;0.0;0.0;     ;J0020M44;2;1259.8;397.5
2.7185417000000003;-41.8863333;00 10 52.45;1.5;-41 53 10.80;1.7;6380.0;191.4;6392.0;191.8;64.8;45.9;76.3;0.0;0.0;     ;J0020M44;4;1260.7;965.1
3.07525;-33.3659722;00 12 18.06;1.5;-33 21 57.50;1.7;1550.0;46.6;1642.0;49.3;84.9;55.6;128.1;0.0;0.0;     ;J0018M32;1;1094.4;135.8
3.851;-38.0766389;00 15 24.24;1.5;-38 04 35.90;1.7;1958.0;58.8;2113.0;63.5;70.0;51.4;65.5;0.0;0.0;     ;J0020M40;2;1001.0;857.3
4.0111667;-63.1686667;00 16 02.68;1.5;-63 10 07.20;1.7;2536.0;76.1;2992.0;119.4;53.7;49.6;66.6;28.7;0.0; 79.1;J0000M64;2;113.0;861.8
4.7042082999999995;-51.2491667;00 18 49.01;1.5;-51 14 57.00;1.7;1156.0;34.7;1212.0;36.4;57.1;50.6;54.7;0.0;0.0;     ;J0024M52;1;970.4;747.8
5.094375;-48.785861100000005;00 20 22.65;1.5;-48 47 09.10;1.7;1242.0;37.3;1242.0;37.3;60.6;45.0;179.9;0.0;0.0;     ;J0020M48;1;684.7;332.9
6.02725;-68.34861109999999;00 24 06.54;1.5;-68 20 55.00;1.7;1223.0;36.7;1248.0;37.5;48.5;47.0;126.9;0.0;0.0;     ;J0036M68;1;1063.8;540.2
6.1789167;-42.0346667;00 24 42.94;1.5;-42 02 04.80;1.7;1687.0;50.7;1770.0;53.1;64.8;53.2;49.4;0.0;0.0;     ;J0020M44;2;418.5;935.3
6.3146667;-60.47477779999999;00 25 15.52;1.5;-60 28 29.20;1.7;1481.0;44.5;1838.0;73.1;55.8;52.5;136.0;30.8;0.0;104.0;J0030M60;1;896.2;475.0
6.3789583;-33.05425;00 25 30.95;1.5;-33 03 15.30;1.7;1200.0;36.1;2310.0;84.9;97.1;83.8;51.6;81.9;0.0; 78.9;J0018M32;1;189.7;188.8
6.671375;-49.3137778;00 26 41.13;1.5;-49 18 49.60;1.7;1520.0;45.6;1595.0;47.9;60.6;53.4;142.0;0.0;0.0;     ;J0020M48;1;348.5;201.6
6.7285417;-36.925861100000006;00 26 54.85;1.5;-36 55 33.10;1.7;1148.0;34.5;1174.0;35.3;76.6;52.8;51.4;0.0;0.0;     ;J0018M36;2;122.1;233.0
7.659875;-50.31225;00 30 38.37;1.5;-50 18 44.10;1.7;1227.0;36.8;1248.0;37.5;57.1;45.8;89.5;0.0;0.0;     ;J0024M52;1;358.1;988.1
9.61175;-38.9965556;00 38 26.82;1.5;-38 59 47.60;1.7;2467.0;74.1;2613.0;78.4;70.0;52.6;56.7;0.0;0.0;     ;J0040M40;1;803.8;664.9
9.68525;-62.52038889999999;00 38 44.46;1.5;-62 31 13.40;1.7;1129.0;33.9;1825.0;63.2;71.4;51.1;113.5;54.8;0.0;109.9;J0030M64;1;375.1;1064.1
10.537416699999998;-44.2334722;00 42 08.98;1.5;-44 14 00.50;1.7;5860.0;175.8;5861.0;175.8;64.8;51.0;22.2;0.0;0.0;     ;J0040M44;1;579.0;436.6
10.5825;-75.8095556;00 42 19.80;1.5;-75 48 34.40;1.7;1129.0;33.9;1138.0;34.2;46.7;45.0;172.9;0.0;0.0;     ;J0045M76;1;758.6;744.2
10.742125;-41.9831389;00 42 58.11;1.5;-41 58 59.30;1.7;1521.0;45.7;1614.0;48.5;64.8;49.9;65.5;0.0;0.0;     ;J0040M44;2;524.5;947.9
11.170875;-35.50936110000001;00 44 41.01;1.5;-35 30 33.70;1.7;3677.0;110.4;3808.0;114.3;76.6;46.7;94.3;0.0;0.0;     ;J0054M36;2;1325.3;505.0
11.556375;-42.1185;00 46 13.53;1.5;-42 07 06.60;1.7;5006.0;150.2;6099.0;183.0;64.8;60.9;132.8;0.0;0.0;     ;J0040M44;1;327.2;915.2
11.582541699999998;-42.137583299999996;00 46 19.81;1.5;-42 08 15.30;1.7;2946.0;88.4;6831.0;236.9;109.1;65.7;134.2;94.7;32.0;126.3;J0040M44;1;321.0;910.8
