_RAJ2000;_DEJ2000;RAJ2000;e_RAJ2000;DEJ2000;e_DEJ2000;Sp;e_Sp;St;e_St;MajAxis;MinAxis;PA;dMajAxis;dMinAxis;dPA;Mosaic;Nm;Xpos;Ypos;MGPS;E
0.2579167;-75.2006389;00 01 01.90;1.5;-75 12 02.30;1.7;469.5;14.1;478.4;14.4;47.0;45.3;26.2;0.0;0.0;     ;J0000M76;1;683.4;937.8;;
0.349375;-76.15341670000001;00 01 23.85;1.5;-76 09 12.30;1.7;763.6;22.9;792.8;23.8;48.1;45.1;166.7;0.0;0.0;     ;J0000M76;1;677.6;635.2;;
0.3617083;-46.5037778;00 01 26.81;1.5;-46 30 13.60;1.7;494.1;14.9;494.2;14.9;60.6;45.0;178.2;0.0;0.0;     ;J0000M48;1;623.5;887.7;;
0.43058329999999995;-30.958916700000003;00 01 43.34;1.5;-30 57 32.10;1.7;879.5;26.5;879.6;26.5;84.9;45.0;179.8;0.0;0.0;     ;J0000M32;1;584.2;554.4;;
0.5710417;-61.370444400000004;00 02 17.05;1.5;-61 22 13.60;1.7;783.0;23.6;847.0;25.5;54.6;46.7;154.2;0.0;0.0;     ;J0000M60;1;615.5;222.3;;
0.6756667;-50.4132222;00 02 42.16;1.5;-50 24 47.60;1.7;645.5;19.4;645.6;19.4;57.1;47.0;17.9;0.0;0.0;     ;J0000M52;1;564.1;964.7;;
0.6906667;-30.473972200000002;00 02 45.76;1.5;-30 28 26.30;1.7;728.2;22.0;806.0;24.3;84.9;68.4;35.7;0.0;0.0;     ;J0000M32;1;510.2;638.3;;
0.7230416999999999;-56.353416700000004;00 02 53.53;1.5;-56 21 12.30;1.7;1350.0;40.5;1350.0;40.5;54.3;46.0;164.0;0.0;0.0;     ;J0000M56;1;573.9;488.5;;
0.7914583000000001;-54.74925;00 03 09.95;1.5;-54 44 57.30;1.7;1117.0;33.5;1549.0;54.8;72.3;47.5;154.0;50.1;0.0;145.6;J0000M56;1;555.5;923.6;;
0.802375;-35.93819439999999;00 03 12.57;1.5;-35 56 17.50;1.7;530.7;16.0;1123.4;40.6;97.0;79.4;59.4;83.1;30.4; 76.5;J0000M36;1;492.4;426.4;;
0.805375;-59.096611100000004;00 03 13.29;1.5;-59 05 47.80;1.7;505.8;15.2;505.9;15.2;52.0;45.0;179.3;0.0;0.0;     ;J0000M60;1;569.6;866.3;;
0.973875;-38.4510278;00 03 53.73;1.5;-38 27 03.70;1.7;625.9;18.8;638.6;19.2;70.0;53.2;48.2;0.0;0.0;     ;J0000M40;1;455.4;778.9;;
0.9789167;-30.998194399999996;00 03 54.94;1.5;-30 59 53.50;1.7;1342.0;40.3;1401.0;42.1;84.9;54.5;52.6;0.0;0.0;     ;J0000M32;1;430.4;547.1;;
1.082;-55.7824444;00 04 19.68;1.5;-55 46 56.80;1.7;779.4;23.4;995.9;29.9;57.5;54.3;89.1;0.0;0.0;     ;J0000M56;1;505.9;642.7;;
1.1359167;-41.7320556;00 04 32.62;1.5;-41 43 55.40;1.7;499.8;15.1;568.7;17.2;70.0;55.8;121.6;0.0;0.0;     ;J0000M40;1;427.6;88.6;;
1.1484166999999998;-47.6056667;00 04 35.62;1.5;-47 36 20.40;1.7;909.0;27.3;932.9;28.0;60.6;53.0;143.8;0.0;0.0;     ;J0000M48;1;451.6;618.5;;
1.3252083000000001;-66.82502779999999;00 05 18.05;1.5;-66 49 30.10;1.7;488.5;14.7;503.7;15.1;48.5;47.5;125.2;0.0;0.0;     ;J0000M68;1;534.3;1008.8;;
1.3522083;-57.8648333;00 05 24.53;1.5;-57 51 53.40;1.7;773.9;23.3;806.6;24.2;54.3;48.6;60.5;0.0;0.0;     ;J0000M56;1;469.6;77.2;;
1.4681667;-62.9305;00 05 52.36;1.5;-62 55 49.80;1.7;582.7;17.5;671.1;20.2;52.4;49.6;69.5;0.0;0.0;     ;J0000M64;1;486.4;946.3;;
1.4902083000000002;-56.475416700000004;00 05 57.65;1.5;-56 28 31.50;1.7;2617.0;78.5;2763.0;82.9;54.3;50.9;48.9;0.0;0.0;     ;J0000M56;1;435.7;453.6;;
1.50775;-42.57786110000001;00 06 01.86;1.5;-42 34 40.30;1.7;2850.0;85.5;2850.0;85.5;64.8;45.0;179.0;0.0;0.0;     ;J0000M44;1;341.7;811.0;;
1.5370833000000002;-83.0955;00 06 08.90;1.5;-83 05 43.80;1.7;2443.0;73.3;2548.0;76.5;47.0;45.2;126.0;0.0;0.0;     ;J0000M84;1;644.5;994.6;;
1.5934167;-83.1114444;00 06 22.42;1.5;-83 06 41.20;1.7;720.0;21.7;754.6;22.7;47.2;45.2;123.0;0.0;0.0;     ;J0000M84;1;642.5;989.3;;
1.6705832999999999;-69.16452779999999;00 06 40.94;1.5;-69 09 52.30;1.7;638.6;19.2;656.0;19.7;48.5;47.1;131.4;0.0;0.0;     ;J0000M68;1;510.6;298.2;;
1.703;-52.992361100000004;00 06 48.72;1.5;-52 59 32.50;1.7;527.0;15.9;527.1;15.9;57.1;50.7;143.9;0.0;0.0;     ;J0000M52;1;369.6;297.0;;
1.9145832999999999;-64.09952779999999;00 07 39.50;1.5;-64 05 58.30;1.7;527.7;15.9;551.5;16.6;50.1;48.1;117.1;0.0;0.0;     ;J0000M64;1;431.4;601.0;;
2.0657083;-59.130527799999996;00 08 15.77;1.5;-59 07 49.90;1.7;776.3;23.3;833.0;25.0;52.0;49.0;134.5;0.0;0.0;     ;J0000M60;1;358.2;852.7;;
2.3235417000000003;-45.059861100000006;00 09 17.65;1.5;-45 03 35.50;1.7;454.1;13.7;698.8;21.1;67.6;66.4;92.0;0.0;0.0;     ;J0020M44;2;1323.5;242.1;;
2.351375;-31.771138899999997;00 09 24.33;1.5;-31 46 16.10;1.7;474.0;14.3;590.1;17.9;84.9;61.8;56.7;0.0;0.0;     ;J0000M32;2;51.0;409.9;;
